ticket_id,category,priority,description,hour_of_day,day_of_week,resolution_time_hours
50,CNCL,high,¿Tiene costo cancelar antes de que termine el contrato de Fibra 500MB?,2,4,2.5
51,BILL,medium,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full!!",11,1,2.95
52,TECH,high,"La luz del módem está en ámbar, no logro navegar",16,5,7.03
53,OTHR,medium,¿Puedo pagar mi factura en efectivo en algún punto físico?,17,4,1.28
54,BILL,high,No reconozco un cargo de $15 en mi ultima factura,21,1,1.07
55,PLAN,high,Quiero agregar una línea móvil adicional a mi plan familiar,23,0,5.93
56,PLAN,medium,¿Tienen promociones para migrar a Fibra 200MB este mes?,19,0,6.22
57,PLAN,low,¿Tienen promociones para migrar a Plan Ilimitado este mes?,15,5,6.36
58,PLAN,low,Necesito aumentar la cantidad de datos móviles de mi plan actual,21,4,10.38
59,BILL,medium,"el valor de mi plan subió sin previo aviso, quiero una explicación",23,5,8.31
60,BILL,high,¿Por qué me cobraron $5 de más este mes en Ambato?,9,3,2.8
61,CNCL,medium,¿Cuál es el proceso para cancelar mi plan sin penalidad?,12,0,3.0
62,OTHR,medium,¿Dónde queda la sucursal más cercana a mi domicilio?,11,0,1.41
63,OTHR,medium,¿Cómo puedo actualizar mis datos de contacto?,16,6,2.72
64,BILL,medium,No me ha llegado la factura electrónica de este mes a mi correo,7,5,6.21
65,BILL,medium,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",15,6,5.49
66,PLAN,medium,"Quiero cambiar mi plan actual a Fibra 500MB, ¿cuáles son los requisitos?",2,4,4.79
67,TECH,low,"No tengo conexión a internet, el router tiene la luz roja parpadeando",7,1,11.36
68,OTHR,low,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,12,6,3.93
69,PLAN,low,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,22,4,6.34
70,TECH,medium,La velocidad contratada es de 50MB pero el speedtest me marca menos de la mitad,15,1,12.85
71,CNCL,low,"Ya encontré otro proveedor, necesito cancelar mi cuenta cuanto antes",10,3,11.11
72,BILL,medium,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",5,6,4.55
73,OTHR,medium,¿Cómo puedo actualizar mis datos de contacto?,14,6,1.95
74,TECH,low,El servicio de internet se cae todas las noches entre las 8 y las 10,17,4,18.71
75,TECH,low,"Contraté fibra óptica pero la velocidad real es pésima, parece adsl!!",21,2,18.59
76,BILL,medium,Quiero verificar si mi pago de ayer ya se refleja en el sistema,11,6,2.39
77,PLAN,low,Quiero agregar una línea móvil adicional a mi plan familiar,17,0,3.8
78,CNCL,low,Quiero cancelar porque el precio subió demasiado,9,0,6.7
79,CNCL,low,¿Cuál es el proceso para cancelar mi plan sin penalidad?,0,5,9.94
80,CNCL,high,¿Tiene costo cancelar antes de que termine el contrato de Internet Hogar 100MB?,19,5,4.91
81,PLAN,low,¿Como hago para cambiar de plan prepago a pospago?,0,3,6.89
82,TECH,medium,El servicio de internet se cae todas las noches entre las 8 y las 10,14,1,9.25
83,TECH,low,Tengo alta latencia y ping inestable trabajando desde casa,4,5,15.93
84,TECH,high,"Se me desconecta el internet apenas empieza a llover, necesito soporte técnico",17,4,4.18
85,CNCL,medium,"No estoy conforme con la atención recibida, quiero terminar el contrato",23,3,6.63
86,OTHR,low,Quisiera saber si tienen cobertura en el sector de Ambato,18,5,3.24
87,OTHR,low,¿Como puedo actualizar mis datos de contacto?!!,7,5,3.61
88,BILL,medium,No reconozco un cargo de $12 en mi última factura,18,6,4.86
89,PLAN,high,¿Puedo combinar dos servicios en un solo plan con descuento?,16,1,6.95
90,TECH,low,"se me desconecta el internet apenas empieza a llover, necesito soporte tecnico",19,3,10.09
91,OTHR,medium,¿Qué documentos necesito para abrir una cuenta nueva?,3,1,3.98
92,OTHR,low,"Quiero felicitar al agente que me atendió, excelente servicio",5,4,3.72
93,BILL,low,El total de la factura no coincide con el valor de mi plan mensual,11,1,5.35
94,PLAN,medium,Quisiera agregar el servicio de TV por cable a mi plan de internet,18,4,2.35
95,CNCL,medium,Llevo meses con problemas y ya decidí cancelar el servicio,8,6,2.64
96,CNCL,low,Necesito cancelar el servicio a nombre de un familiar fallecido,14,1,11.23
97,OTHR,medium,"Quiero felicitar al agente que me atendió, excelente servicio",8,4,1.96
98,OTHR,medium,"Consulta general, no encuentro la opción que busco en la app!!",17,0,1.48
99,TECH,low,"El internet está muy lento desde hace 8 días, no puedo ni hacer una videollamada",21,4,8.23
100,OTHR,medium,Quiero saber si puedo transferir mi cuenta a otra persona,21,2,3.43
101,TECH,low,No carga ninguna página web desde esta mañana en Riobamba,6,2,10.71
102,PLAN,high,¿Como hago para cambiar de plan prepago a pospago?,1,6,2.42
103,TECH,low,No detecta la red wifi en ninguno de mis dispositivos desde ayer,14,3,6.86
104,TECH,low,"El internet está muy lento desde hace 5 días, no puedo ni hacer una videollamada",7,2,11.36
105,TECH,medium,Tengo alta latencia y ping inestable trabajando desde casa,5,4,11.57
106,BILL,medium,"El descuento de la promocion no se aplico en mi factura, sigo pagando el full",18,4,2.99
107,PLAN,medium,Estoy interesado en el combo de internet más streaming,12,0,3.99
108,OTHR,medium,¿Dónde queda la sucursal más cercana a mi domicilio?,1,4,3.7
109,BILL,low,"El valor de mi plan subió sin previo aviso, quiero una explicación!!",12,5,2.6
110,PLAN,medium,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,6,3,4.45
111,PLAN,medium,Quisiera agregar el servicio de TV por cable a mi plan de internet,2,0,5.61
112,CNCL,medium,Quiero cancelar porque el precio subió demasiado,19,4,4.15
113,TECH,medium,La velocidad contratada es de 500MB pero el speedtest me marca menos de la mitad,17,3,8.65
114,TECH,high,El técnico vino pero el problema de conexión sigue igual,21,4,7.41
115,OTHR,low,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,4,4,3.62
116,TECH,low,"Se me corta el wifi cada 5 minutos, es muy frustrante",10,2,8.34
117,CNCL,low,Llevo meses con problemas y ya decidí cancelar el servicio,0,1,4.84
118,OTHR,medium,¿Dónde queda la sucursal más cercana a mi domicilio?,6,2,2.14
119,BILL,low,Quiero verificar si mi pago de ayer ya se refleja en el sistema,8,0,6.02
120,BILL,high,quiero verificar si mi pago de ayer ya se refleja en el sistema,12,1,0.65
121,BILL,medium,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",11,3,3.15
122,PLAN,high,¿Cómo hago para cambiar de plan prepago a pospago?,8,0,1.81
123,TECH,low,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",1,3,22.86
124,OTHR,low,¿Qué documentos necesito para abrir una cuenta nueva?,8,1,4.28
125,BILL,medium,No me ha llegado la factura electrónica de este mes a mi correo,0,3,2.73
126,BILL,high,"el descuento de la promoción no se aplicó en mi factura, sigo pagando el full",3,0,4.46
127,CNCL,low,¿Cuál es el proceso para cancelar mi plan sin penalidad?,20,2,6.67
128,TECH,low,El técnico vino pero el problema de conexión sigue igual,10,0,13.99
129,BILL,high,Solicito el desglose detallado de los cargos de mi factura,19,1,2.08
130,OTHR,medium,"Consulta general, no encuentro la opción que busco en la app",8,2,2.61
131,OTHR,low,"Quiero felicitar al agente que me atendió, excelente servicio!!",23,5,2.95
132,BILL,low,Mi factura llegó con un monto mayor al acordado en el contrato,21,3,5.76
133,TECH,low,No puedo configurar el wifi de 5GHz en mi router nuevo,22,0,16.09
134,OTHR,medium,"Consulta general, no encuentro la opción que busco en la app",11,5,2.25
135,BILL,medium,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",7,2,4.81
136,CNCL,low,deseo dar de baja mi línea porque me mudo de ciudad,6,0,7.0
137,OTHR,medium,¿Ofrecen algún programa de referidos con beneficios?,21,5,3.1
138,BILL,medium,Mi factura llegó con un monto mayor al acordado en el contrato!!,8,2,1.73
139,OTHR,low,¿Dónde queda la sucursal más cercana a mi domicilio?!!,13,1,3.33
140,PLAN,high,Necesito aumentar la cantidad de datos móviles de mi plan actual,0,0,3.64
141,BILL,low,El total de la factura no coincide con el valor de mi plan mensual,2,1,5.09
142,CNCL,medium,quiero cancelar mi suscripción antes de la próxima facturación!!,0,5,4.7
143,CNCL,low,"Ya encontré otro proveedor, necesito cancelar mi cuenta cuanto antes",13,4,7.31
144,BILL,medium,Quisiera una copia de mi factura del mes pasado para mi contabilidad!!,16,4,2.53
145,TECH,low,No puedo configurar el wifi de 5GHz en mi router nuevo,23,0,5.74
146,PLAN,medium,Necesito bajar de plan porque el actual me queda muy caro,9,2,9.26
147,TECH,high,el servicio de internet se cae todas las noches entre las 8 y las 10,13,3,3.77
148,PLAN,medium,¿Puedo combinar dos servicios en un solo plan con descuento?,16,2,5.29
149,OTHR,medium,¿Puedo pagar mi factura en efectivo en algún punto físico?,20,5,4.13
150,CNCL,low,Quiero cancelar mi suscripción antes de la próxima facturación,13,3,7.3
151,OTHR,medium,¿Tienen aplicación móvil para gestionar mi cuenta?,18,0,2.33
152,TECH,high,No carga ninguna página web desde esta mañana en Riobamba,21,6,9.18
153,OTHR,medium,"Quiero felicitar al agente que me atendio, excelente servicio",18,3,1.23
154,OTHR,low,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,4,2,6.04
155,CNCL,low,Quiero cancelar mi suscripción antes de la próxima facturación,12,5,8.91
156,CNCL,medium,Estoy muy insatisfecho con el servicio y quiero cancelar el contrato,21,6,6.44
157,OTHR,high,¿Cómo puedo actualizar mis datos de contacto?,9,3,0.83
158,OTHR,low,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,1,4,2.49
159,CNCL,medium,Necesito cancelar el servicio a nombre de un familiar fallecido,8,3,8.48
160,OTHR,low,¿Puedo pagar mi factura en efectivo en algun punto fisico?,6,3,6.31
161,BILL,medium,El total de la factura no coincide con el valor de mi plan mensual,19,3,4.17
162,CNCL,medium,Deseo dar de baja mi linea porque me mudo de ciudad,12,3,2.81
163,PLAN,low,Quiero contratar el Combo TV+Internet para mi nueva casa en Ambato,23,0,4.68
164,PLAN,medium,necesito bajar de plan porque el actual me queda muy caro,20,5,8.52
165,PLAN,low,Quisiera agregar el servicio de TV por cable a mi plan de internet,6,1,3.39
166,TECH,medium,"Se me corta el wifi cada 15 minutos, es muy frustrante",12,3,9.17
167,TECH,medium,no detecta la red wifi en ninguno de mis dispositivos desde ayer,5,0,8.67
168,PLAN,high,quisiera agregar el servicio de TV por cable a mi plan de internet,7,3,2.74
169,PLAN,low,¿Puedo combinar dos servicios en un solo plan con descuento?,9,1,4.54
170,PLAN,low,quisiera agregar el servicio de TV por cable a mi plan de internet!!,1,4,11.25
171,BILL,low,Quisiera una copia de mi factura del mes pasado para mi contabilidad!!,22,4,14.58
172,OTHR,low,Tengo una consulta general sobre los servicios que ofrecen,6,2,3.59
173,TECH,medium,La velocidad contratada es de 100MB pero el speedtest me marca menos de la mitad,16,1,8.88
174,PLAN,medium,Necesito bajar de plan porque el actual me queda muy caro,6,0,4.23
175,BILL,low,¿Por que me cobraron $8 de mas este mes en Riobamba?,11,1,2.31
176,OTHR,medium,Quisiera saber más sobre las políticas de privacidad de datos,16,6,1.77
177,TECH,high,"No tengo conexion a internet, el router tiene la luz roja parpadeando",8,1,7.07
178,OTHR,low,Quisiera saber más sobre las políticas de privacidad de datos,2,6,3.19
179,CNCL,low,¿Cuál es el proceso para cancelar mi plan sin penalidad?,7,5,5.85
180,CNCL,medium,¿Tiene costo cancelar antes de que termine el contrato de Plan Ilimitado?,15,3,8.25
181,OTHR,high,"Quiero felicitar al agente que me atendió, excelente servicio",5,1,2.2
182,CNCL,low,Quiero cancelar mi suscripción antes de la próxima facturación,13,3,10.48
183,BILL,high,No me ha llegado la factura electrónica de este mes a mi correo,21,2,1.6
184,OTHR,high,¿Tienen aplicación móvil para gestionar mi cuenta?,21,3,0.97
185,OTHR,low,¿Qué documentos necesito para abrir una cuenta nueva?!!,23,3,4.89
186,TECH,medium,"El internet esta muy lento desde hace 1 dias, no puedo ni hacer una videollamada",13,3,8.91
187,CNCL,medium,¿Tiene costo cancelar antes de que termine el contrato de Plan Ilimitado?!!,9,1,2.6
188,CNCL,medium,necesito cancelar el servicio a nombre de un familiar fallecido,9,5,4.33
189,PLAN,low,¿Cómo hago para cambiar de plan prepago a pospago?,10,5,4.03
190,CNCL,medium,Solicito la baja definitiva de todos mis servicios contratados,14,0,8.14
191,PLAN,medium,deseo conocer los beneficios de pasar de plan mes a mes a plan anual,15,4,6.94
192,PLAN,medium,Quisiera cambiar mi plan antes de que termine el contrato actual,23,3,3.34
193,BILL,low,¿Por qué me cobraron $25 de más este mes en Riobamba?,23,0,3.64
194,CNCL,low,¿Tiene costo cancelar antes de que termine el contrato de Plan Prepago Movil?,13,6,8.7
195,CNCL,low,"Me mudo fuera de Riobamba y no hay cobertura, debo cancelar",0,3,14.05
196,TECH,low,"el internet está muy lento desde hace 4 días, no puedo ni hacer una videollamada",4,2,18.81
197,OTHR,medium,¿Puedo pagar mi factura en efectivo en algún punto físico?,3,2,3.05
198,BILL,medium,Mi factura llegó con un monto mayor al acordado en el contrato!!,15,2,2.18
199,OTHR,low,Necesito hablar con un asesor sobre un tema que no es tecnico ni de facturacion,10,3,2.3
200,CNCL,high,"Quiero cancelar mi servicio de internet, ya no lo necesito",16,6,5.0
201,BILL,high,"El valor de mi plan subió sin previo aviso, quiero una explicación",23,0,2.67
202,TECH,high,"El internet está muy lento desde hace 8 días, no puedo ni hacer una videollamada",7,0,8.73
203,TECH,low,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",21,6,15.72
204,CNCL,high,Deseo dar de baja mi línea porque me mudo de ciudad,14,6,3.72
205,TECH,medium,el servicio de internet se cae todas las noches entre las 8 y las 10,1,1,16.41
206,TECH,medium,"Se me corta el wifi cada 5 minutos, es muy frustrante!!",6,5,11.43
207,TECH,low,El servicio de internet se cae todas las noches entre las 8 y las 10,6,5,17.99
208,OTHR,medium,Necesito hablar con un asesor sobre un tema que no es tecnico ni de facturacion,3,6,4.37
209,PLAN,medium,"me interesa subir de velocidad, ¿qué opciones tienen sobre 100MB?",16,0,1.64
210,PLAN,high,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 100MB?",9,0,2.7
211,OTHR,low,Tengo una duda sobre el proceso de portabilidad numérica,21,3,3.46
212,TECH,medium,No puedo configurar el wifi de 5GHz en mi router nuevo!!,10,6,13.69
213,TECH,high,El tecnico vino pero el problema de conexion sigue igual,7,2,4.9
214,BILL,low,No me ha llegado la factura electrónica de este mes a mi correo!!,9,2,3.99
215,BILL,medium,necesito cambiar mi método de pago de efectivo a débito automático,13,4,4.09
216,TECH,low,Tengo alta latencia y ping inestable trabajando desde casa,21,5,18.39
217,PLAN,medium,¿Puedo combinar dos servicios en un solo plan con descuento?,6,4,6.72
218,BILL,low,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",7,3,3.87
219,BILL,medium,Me cobraron un servicio adicional que nunca contraté,8,0,2.63
220,OTHR,low,¿Cuál es el horario de atención de las oficinas en Cuenca?,22,0,6.13
221,OTHR,low,¿Cuál es el horario de atención de las oficinas en Ambato?!!,1,1,2.18
222,TECH,low,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",13,2,15.92
223,OTHR,low,Quisiera saber si tienen cobertura en el sector de Loja,16,0,3.67
224,BILL,low,"Se me generó un cargo por mora que no debería aplicar, ya pagué a tiempo",3,6,4.98
225,TECH,low,Tengo alta latencia y ping inestable trabajando desde casa,8,0,17.83
226,PLAN,low,¿Puedo hacer upgrade a Plan Familiar sin pagar penalidad por cambio?,19,5,12.02
227,TECH,medium,No carga ninguna pagina web desde esta mañana en Guayaquil!!,8,2,6.18
228,OTHR,low,Quisiera saber mas sobre las politicas de privacidad de datos,20,6,2.72
229,OTHR,high,Quisiera saber si tienen cobertura en el sector de Manta,8,0,0.72
230,TECH,low,No detecta la red wifi en ninguno de mis dispositivos desde ayer,2,4,12.02
231,CNCL,low,Deseo dar de baja mi linea porque me mudo de ciudad,21,2,7.1
232,BILL,low,Necesito cambiar mi método de pago de efectivo a débito automático,19,4,3.79
233,TECH,medium,El técnico vino pero el problema de conexión sigue igual,4,2,10.3
234,BILL,medium,El total de la factura no coincide con el valor de mi plan mensual!!,19,0,2.51
235,BILL,low,El total de la factura no coincide con el valor de mi plan mensual,5,1,5.77
236,BILL,high,"El valor de mi plan subió sin previo aviso, quiero una explicación",8,1,3.15
237,PLAN,high,Estoy interesado en el combo de internet más streaming,5,1,5.22
238,PLAN,medium,¿Cómo hago para cambiar de plan prepago a pospago?,2,6,8.89
239,TECH,low,"Contraté fibra óptica pero la velocidad real es pésima, parece adsl",9,2,8.61
240,PLAN,high,Quisiera agregar el servicio de TV por cable a mi plan de internet,13,1,1.98
241,PLAN,low,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,14,6,5.86
242,CNCL,low,Estoy muy insatisfecho con el servicio y quiero cancelar el contrato,23,0,6.8
243,OTHR,low,Quisiera saber más sobre las políticas de privacidad de datos,8,0,3.16
244,PLAN,high,Quiero información sobre los planes empresariales disponibles,2,6,3.45
245,TECH,low,El servicio de internet se cae todas las noches entre las 8 y las 10,17,6,14.08
246,CNCL,medium,Quiero dar de baja el combo de TV pero mantener el internet,23,6,4.78
247,TECH,medium,La velocidad contratada es de 50MB pero el speedtest me marca menos de la mitad,20,1,13.26
248,PLAN,low,Quiero agregar una linea movil adicional a mi plan familiar,16,1,4.66
249,TECH,high,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",7,5,6.93
250,BILL,high,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full!!",4,6,2.36
251,PLAN,medium,Quiero información sobre los planes empresariales disponibles,23,4,6.09
252,CNCL,low,Solicito la baja definitiva de todos mis servicios contratados,22,1,9.91
253,BILL,low,El total de la factura no coincide con el valor de mi plan mensual,15,4,2.78
254,BILL,low,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",8,6,5.06
255,CNCL,medium,Quiero cancelar mi suscripción antes de la próxima facturación,0,0,6.78
256,PLAN,low,Necesito aumentar la cantidad de datos móviles de mi plan actual,13,5,7.41
257,TECH,low,El técnico vino pero el problema de conexión sigue igual,15,1,8.82
258,OTHR,medium,¿Como puedo actualizar mis datos de contacto?,8,3,2.76
259,PLAN,low,Necesito bajar de plan porque el actual me queda muy caro,18,6,9.34
260,PLAN,high,Necesito bajar de plan porque el actual me queda muy caro,16,5,2.21
261,TECH,high,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",12,1,4.17
262,PLAN,medium,Quiero agregar una línea móvil adicional a mi plan familiar,4,2,3.44
263,OTHR,high,¿Puedo pagar mi factura en efectivo en algún punto físico?,22,3,1.52
264,CNCL,low,Quiero cancelar mi suscripción antes de la próxima facturación,20,1,12.48
265,CNCL,low,solicito la baja definitiva de todos mis servicios contratados,3,3,7.02
266,PLAN,low,¿Puedo combinar dos servicios en un solo plan con descuento?,1,1,9.13
267,BILL,low,Quiero verificar si mi pago de ayer ya se refleja en el sistema,22,5,7.22
268,TECH,high,"Mi router no enciende, ya lo reinicie varias veces y sigue sin funcionar",20,1,3.92
269,CNCL,low,"Ya no puedo pagar el servicio, necesito darlo de baja este mes",18,5,10.18
270,OTHR,high,Quisiera saber más sobre las políticas de privacidad de datos,9,1,1.39
271,TECH,high,"no tengo conexión a internet, el router tiene la luz roja parpadeando",4,2,5.2
272,TECH,medium,"Se me corta el wifi cada 20 minutos, es muy frustrante",4,2,6.36
273,PLAN,medium,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 300MB?",7,6,5.67
274,BILL,high,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",21,3,2.22
275,PLAN,medium,Quiero información sobre los planes empresariales disponibles,21,3,10.28
276,BILL,medium,el total de la factura no coincide con el valor de mi plan mensual,10,1,4.0
277,CNCL,high,Llevo meses con problemas y ya decidí cancelar el servicio,4,3,3.74
278,CNCL,low,"Me mudo fuera de Guayaquil y no hay cobertura, debo cancelar",13,4,11.73
279,BILL,medium,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",9,0,3.96
280,PLAN,high,¿Como hago para cambiar de plan prepago a pospago?,11,5,4.84
281,PLAN,low,Quiero agregar una línea móvil adicional a mi plan familiar,9,2,6.58
282,BILL,medium,Solicito el desglose detallado de los cargos de mi factura,19,4,2.45
283,PLAN,medium,Quisiera cambiar mi plan antes de que termine el contrato actual,23,3,5.99
284,PLAN,low,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 300MB?",3,0,10.0
285,CNCL,low,¿Tiene costo cancelar antes de que termine el contrato de Combo TV+Internet?,16,3,5.17
286,BILL,medium,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",5,5,8.57
287,OTHR,low,"Quiero felicitar al agente que me atendió, excelente servicio",11,2,1.53
288,PLAN,high,"Quiero cambiar mi plan actual a Internet Hogar 100MB, ¿cuáles son los requisitos?",3,6,3.68
289,BILL,low,No me ha llegado la factura electrónica de este mes a mi correo,18,2,6.28
290,BILL,low,"El valor de mi plan subió sin previo aviso, quiero una explicación",5,6,6.42
291,CNCL,medium,¿Cuál es el proceso para cancelar mi plan sin penalidad?,20,2,4.79
292,OTHR,low,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,5,0,4.18
293,TECH,high,"contraté fibra óptica pero la velocidad real es pésima, parece adsl",7,0,4.51
294,OTHR,high,¿Tienen aplicación móvil para gestionar mi cuenta?,6,1,1.07
295,PLAN,medium,¿Puedo hacer upgrade a Fibra 1GB sin pagar penalidad por cambio?,10,3,3.86
296,TECH,low,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",17,3,15.17
297,TECH,medium,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",17,5,13.8
298,BILL,medium,No me ha llegado la factura electrónica de este mes a mi correo,3,5,5.55
299,TECH,medium,No detecta la red wifi en ninguno de mis dispositivos desde ayer,19,0,10.56
300,PLAN,high,¿Cómo hago para cambiar de plan prepago a pospago?,21,2,1.87
301,TECH,medium,"No tengo conexión a internet, el router tiene la luz roja parpadeando",3,1,13.22
302,CNCL,low,"no estoy conforme con la atención recibida, quiero terminar el contrato",11,1,7.66
303,OTHR,medium,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,13,5,3.54
304,OTHR,medium,¿Dónde queda la sucursal más cercana a mi domicilio?,20,4,2.03
305,CNCL,low,"Ya no puedo pagar el servicio, necesito darlo de baja este mes",21,0,5.38
306,CNCL,low,Quiero dar de baja el combo de TV pero mantener el internet,9,5,6.81
307,CNCL,high,Deseo dar de baja mi línea porque me mudo de ciudad,4,5,4.67
308,TECH,medium,"La luz del módem está en ámbar, no logro navegar",9,2,8.34
309,PLAN,low,Necesito bajar de plan porque el actual me queda muy caro,3,2,9.45
310,TECH,low,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",9,2,14.41
311,TECH,low,"Se me desconecta el internet apenas empieza a llover, necesito soporte técnico",2,6,21.29
312,BILL,high,Quiero verificar si mi pago de ayer ya se refleja en el sistema,16,2,1.22
313,OTHR,medium,Quiero saber si puedo transferir mi cuenta a otra persona,14,0,2.19
314,CNCL,medium,¿Cuál es el proceso para cancelar mi plan sin penalidad?,11,0,8.1
315,PLAN,low,quiero agregar una línea móvil adicional a mi plan familiar!!,21,6,10.57
316,BILL,medium,Solicito el desglose detallado de los cargos de mi factura,1,3,3.55
