ticket_id,description,category,priority
57,¿Tienen promociones para migrar a Plan Ilimitado este mes?,PLAN,low
58,Necesito aumentar la cantidad de datos móviles de mi plan actual,PLAN,low
59,"el valor de mi plan subió sin previo aviso, quiero una explicación",BILL,medium
60,¿Por qué me cobraron $5 de más este mes en Ambato?,BILL,high
61,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,medium
62,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,medium
63,¿Cómo puedo actualizar mis datos de contacto?,OTHR,medium
64,No me ha llegado la factura electrónica de este mes a mi correo,BILL,medium
65,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",BILL,medium
66,"Quiero cambiar mi plan actual a Fibra 500MB, ¿cuáles son los requisitos?",PLAN,medium
67,"No tengo conexión a internet, el router tiene la luz roja parpadeando",TECH,low
68,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,low
69,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,PLAN,low
70,La velocidad contratada es de 50MB pero el speedtest me marca menos de la mitad,TECH,medium
71,"Ya encontré otro proveedor, necesito cancelar mi cuenta cuanto antes",CNCL,low
72,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",BILL,medium
73,¿Cómo puedo actualizar mis datos de contacto?,OTHR,medium
74,El servicio de internet se cae todas las noches entre las 8 y las 10,TECH,low
75,"Contraté fibra óptica pero la velocidad real es pésima, parece adsl!!",TECH,low
76,Quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,medium
77,Quiero agregar una línea móvil adicional a mi plan familiar,PLAN,low
78,Quiero cancelar porque el precio subió demasiado,CNCL,low
79,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,low
80,¿Tiene costo cancelar antes de que termine el contrato de Internet Hogar 100MB?,CNCL,high
81,¿Como hago para cambiar de plan prepago a pospago?,PLAN,low
82,El servicio de internet se cae todas las noches entre las 8 y las 10,TECH,medium
83,Tengo alta latencia y ping inestable trabajando desde casa,TECH,low
84,"Se me desconecta el internet apenas empieza a llover, necesito soporte técnico",TECH,high
85,"No estoy conforme con la atención recibida, quiero terminar el contrato",CNCL,medium
86,Quisiera saber si tienen cobertura en el sector de Ambato,OTHR,low
87,¿Como puedo actualizar mis datos de contacto?!!,OTHR,low
88,No reconozco un cargo de $12 en mi última factura,BILL,medium
89,¿Puedo combinar dos servicios en un solo plan con descuento?,PLAN,high
90,"se me desconecta el internet apenas empieza a llover, necesito soporte tecnico",TECH,low
91,¿Qué documentos necesito para abrir una cuenta nueva?,OTHR,medium
92,"Quiero felicitar al agente que me atendió, excelente servicio",OTHR,low
93,El total de la factura no coincide con el valor de mi plan mensual,BILL,low
94,Quisiera agregar el servicio de TV por cable a mi plan de internet,PLAN,medium
95,Llevo meses con problemas y ya decidí cancelar el servicio,CNCL,medium
96,Necesito cancelar el servicio a nombre de un familiar fallecido,CNCL,low
97,"Quiero felicitar al agente que me atendió, excelente servicio",OTHR,medium
98,"Consulta general, no encuentro la opción que busco en la app!!",OTHR,medium
99,"El internet está muy lento desde hace 8 días, no puedo ni hacer una videollamada",TECH,low
100,Quiero saber si puedo transferir mi cuenta a otra persona,OTHR,medium
101,No carga ninguna página web desde esta mañana en Riobamba,TECH,low
102,¿Como hago para cambiar de plan prepago a pospago?,PLAN,high
103,No detecta la red wifi en ninguno de mis dispositivos desde ayer,TECH,low
104,"El internet está muy lento desde hace 5 días, no puedo ni hacer una videollamada",TECH,low
105,Tengo alta latencia y ping inestable trabajando desde casa,TECH,medium
106,"El descuento de la promocion no se aplico en mi factura, sigo pagando el full",BILL,medium
107,Estoy interesado en el combo de internet más streaming,PLAN,medium
108,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,medium
109,"El valor de mi plan subió sin previo aviso, quiero una explicación!!",BILL,low
110,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,PLAN,medium
111,Quisiera agregar el servicio de TV por cable a mi plan de internet,PLAN,medium
112,Quiero cancelar porque el precio subió demasiado,CNCL,medium
113,La velocidad contratada es de 500MB pero el speedtest me marca menos de la mitad,TECH,medium
114,El técnico vino pero el problema de conexión sigue igual,TECH,high
115,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,low
116,"Se me corta el wifi cada 5 minutos, es muy frustrante",TECH,low
117,Llevo meses con problemas y ya decidí cancelar el servicio,CNCL,low
118,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,medium
119,Quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,low
120,quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,high
121,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",BILL,medium
122,¿Cómo hago para cambiar de plan prepago a pospago?,PLAN,high
123,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",TECH,low
124,¿Qué documentos necesito para abrir una cuenta nueva?,OTHR,low
125,No me ha llegado la factura electrónica de este mes a mi correo,BILL,medium
126,"el descuento de la promoción no se aplicó en mi factura, sigo pagando el full",BILL,high
127,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,low
128,El técnico vino pero el problema de conexión sigue igual,TECH,low
129,Solicito el desglose detallado de los cargos de mi factura,BILL,high
130,"Consulta general, no encuentro la opción que busco en la app",OTHR,medium
131,"Quiero felicitar al agente que me atendió, excelente servicio!!",OTHR,low
132,Mi factura llegó con un monto mayor al acordado en el contrato,BILL,low
133,No puedo configurar el wifi de 5GHz en mi router nuevo,TECH,low
134,"Consulta general, no encuentro la opción que busco en la app",OTHR,medium
135,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",BILL,medium
136,deseo dar de baja mi línea porque me mudo de ciudad,CNCL,low
137,¿Ofrecen algún programa de referidos con beneficios?,OTHR,medium
138,Mi factura llegó con un monto mayor al acordado en el contrato!!,BILL,medium
139,¿Dónde queda la sucursal más cercana a mi domicilio?!!,OTHR,low
140,Necesito aumentar la cantidad de datos móviles de mi plan actual,PLAN,high
141,El total de la factura no coincide con el valor de mi plan mensual,BILL,low
142,quiero cancelar mi suscripción antes de la próxima facturación!!,CNCL,medium
143,"Ya encontré otro proveedor, necesito cancelar mi cuenta cuanto antes",CNCL,low
144,Quisiera una copia de mi factura del mes pasado para mi contabilidad!!,BILL,medium
145,No puedo configurar el wifi de 5GHz en mi router nuevo,TECH,low
146,Necesito bajar de plan porque el actual me queda muy caro,PLAN,medium
147,el servicio de internet se cae todas las noches entre las 8 y las 10,TECH,high
148,¿Puedo combinar dos servicios en un solo plan con descuento?,PLAN,medium
149,¿Puedo pagar mi factura en efectivo en algún punto físico?,OTHR,medium
150,Quiero cancelar mi suscripción antes de la próxima facturación,CNCL,low
151,¿Tienen aplicación móvil para gestionar mi cuenta?,OTHR,medium
152,No carga ninguna página web desde esta mañana en Riobamba,TECH,high
153,"Quiero felicitar al agente que me atendio, excelente servicio",OTHR,medium
154,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,low
155,Quiero cancelar mi suscripción antes de la próxima facturación,CNCL,low
156,Estoy muy insatisfecho con el servicio y quiero cancelar el contrato,CNCL,medium
157,¿Cómo puedo actualizar mis datos de contacto?,OTHR,high
158,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,low
159,Necesito cancelar el servicio a nombre de un familiar fallecido,CNCL,medium
160,¿Puedo pagar mi factura en efectivo en algun punto fisico?,OTHR,low
161,El total de la factura no coincide con el valor de mi plan mensual,BILL,medium
162,Deseo dar de baja mi linea porque me mudo de ciudad,CNCL,medium
163,Quiero contratar el Combo TV+Internet para mi nueva casa en Ambato,PLAN,low
164,necesito bajar de plan porque el actual me queda muy caro,PLAN,medium
165,Quisiera agregar el servicio de TV por cable a mi plan de internet,PLAN,low
166,"Se me corta el wifi cada 15 minutos, es muy frustrante",TECH,medium
167,no detecta la red wifi en ninguno de mis dispositivos desde ayer,TECH,medium
168,quisiera agregar el servicio de TV por cable a mi plan de internet,PLAN,high
169,¿Puedo combinar dos servicios en un solo plan con descuento?,PLAN,low
170,quisiera agregar el servicio de TV por cable a mi plan de internet!!,PLAN,low
171,Quisiera una copia de mi factura del mes pasado para mi contabilidad!!,BILL,low
172,Tengo una consulta general sobre los servicios que ofrecen,OTHR,low
173,La velocidad contratada es de 100MB pero el speedtest me marca menos de la mitad,TECH,medium
174,Necesito bajar de plan porque el actual me queda muy caro,PLAN,medium
175,¿Por que me cobraron $8 de mas este mes en Riobamba?,BILL,low
176,Quisiera saber más sobre las políticas de privacidad de datos,OTHR,medium
177,"No tengo conexion a internet, el router tiene la luz roja parpadeando",TECH,high
178,Quisiera saber más sobre las políticas de privacidad de datos,OTHR,low
179,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,low
180,¿Tiene costo cancelar antes de que termine el contrato de Plan Ilimitado?,CNCL,medium
181,"Quiero felicitar al agente que me atendió, excelente servicio",OTHR,high
182,Quiero cancelar mi suscripción antes de la próxima facturación,CNCL,low
183,No me ha llegado la factura electrónica de este mes a mi correo,BILL,high
184,¿Tienen aplicación móvil para gestionar mi cuenta?,OTHR,high
185,¿Qué documentos necesito para abrir una cuenta nueva?!!,OTHR,low
186,"El internet esta muy lento desde hace 1 dias, no puedo ni hacer una videollamada",TECH,medium
187,¿Tiene costo cancelar antes de que termine el contrato de Plan Ilimitado?!!,CNCL,medium
188,necesito cancelar el servicio a nombre de un familiar fallecido,CNCL,medium
189,¿Cómo hago para cambiar de plan prepago a pospago?,PLAN,low
190,Solicito la baja definitiva de todos mis servicios contratados,CNCL,medium
191,deseo conocer los beneficios de pasar de plan mes a mes a plan anual,PLAN,medium
192,Quisiera cambiar mi plan antes de que termine el contrato actual,PLAN,medium
193,¿Por qué me cobraron $25 de más este mes en Riobamba?,BILL,low
194,¿Tiene costo cancelar antes de que termine el contrato de Plan Prepago Movil?,CNCL,low
195,"Me mudo fuera de Riobamba y no hay cobertura, debo cancelar",CNCL,low
196,"el internet está muy lento desde hace 4 días, no puedo ni hacer una videollamada",TECH,low
197,¿Puedo pagar mi factura en efectivo en algún punto físico?,OTHR,medium
198,Mi factura llegó con un monto mayor al acordado en el contrato!!,BILL,medium
199,Necesito hablar con un asesor sobre un tema que no es tecnico ni de facturacion,OTHR,low
200,"Quiero cancelar mi servicio de internet, ya no lo necesito",CNCL,high
201,"El valor de mi plan subió sin previo aviso, quiero una explicación",BILL,high
202,"El internet está muy lento desde hace 8 días, no puedo ni hacer una videollamada",TECH,high
203,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,low
204,Deseo dar de baja mi línea porque me mudo de ciudad,CNCL,high
205,el servicio de internet se cae todas las noches entre las 8 y las 10,TECH,medium
206,"Se me corta el wifi cada 5 minutos, es muy frustrante!!",TECH,medium
207,El servicio de internet se cae todas las noches entre las 8 y las 10,TECH,low
208,Necesito hablar con un asesor sobre un tema que no es tecnico ni de facturacion,OTHR,medium
209,"me interesa subir de velocidad, ¿qué opciones tienen sobre 100MB?",PLAN,medium
210,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 100MB?",PLAN,high
211,Tengo una duda sobre el proceso de portabilidad numérica,OTHR,low
212,No puedo configurar el wifi de 5GHz en mi router nuevo!!,TECH,medium
213,El tecnico vino pero el problema de conexion sigue igual,TECH,high
214,No me ha llegado la factura electrónica de este mes a mi correo!!,BILL,low
215,necesito cambiar mi método de pago de efectivo a débito automático,BILL,medium
216,Tengo alta latencia y ping inestable trabajando desde casa,TECH,low
217,¿Puedo combinar dos servicios en un solo plan con descuento?,PLAN,medium
218,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",BILL,low
219,Me cobraron un servicio adicional que nunca contraté,BILL,medium
220,¿Cuál es el horario de atención de las oficinas en Cuenca?,OTHR,low
221,¿Cuál es el horario de atención de las oficinas en Ambato?!!,OTHR,low
222,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,low
223,Quisiera saber si tienen cobertura en el sector de Loja,OTHR,low
224,"Se me generó un cargo por mora que no debería aplicar, ya pagué a tiempo",BILL,low
225,Tengo alta latencia y ping inestable trabajando desde casa,TECH,low
226,¿Puedo hacer upgrade a Plan Familiar sin pagar penalidad por cambio?,PLAN,low
227,No carga ninguna pagina web desde esta mañana en Guayaquil!!,TECH,medium
228,Quisiera saber mas sobre las politicas de privacidad de datos,OTHR,low
229,Quisiera saber si tienen cobertura en el sector de Manta,OTHR,high
230,No detecta la red wifi en ninguno de mis dispositivos desde ayer,TECH,low
231,Deseo dar de baja mi linea porque me mudo de ciudad,CNCL,low
232,Necesito cambiar mi método de pago de efectivo a débito automático,BILL,low
233,El técnico vino pero el problema de conexión sigue igual,TECH,medium
234,El total de la factura no coincide con el valor de mi plan mensual!!,BILL,medium
235,El total de la factura no coincide con el valor de mi plan mensual,BILL,low
236,"El valor de mi plan subió sin previo aviso, quiero una explicación",BILL,high
237,Estoy interesado en el combo de internet más streaming,PLAN,high
238,¿Cómo hago para cambiar de plan prepago a pospago?,PLAN,medium
239,"Contraté fibra óptica pero la velocidad real es pésima, parece adsl",TECH,low
240,Quisiera agregar el servicio de TV por cable a mi plan de internet,PLAN,high
241,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,PLAN,low
242,Estoy muy insatisfecho con el servicio y quiero cancelar el contrato,CNCL,low
243,Quisiera saber más sobre las políticas de privacidad de datos,OTHR,low
244,Quiero información sobre los planes empresariales disponibles,PLAN,high
245,El servicio de internet se cae todas las noches entre las 8 y las 10,TECH,low
246,Quiero dar de baja el combo de TV pero mantener el internet,CNCL,medium
247,La velocidad contratada es de 50MB pero el speedtest me marca menos de la mitad,TECH,medium
248,Quiero agregar una linea movil adicional a mi plan familiar,PLAN,low
249,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,high
250,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full!!",BILL,high
251,Quiero información sobre los planes empresariales disponibles,PLAN,medium
252,Solicito la baja definitiva de todos mis servicios contratados,CNCL,low
253,El total de la factura no coincide con el valor de mi plan mensual,BILL,low
254,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",BILL,low
255,Quiero cancelar mi suscripción antes de la próxima facturación,CNCL,medium
256,Necesito aumentar la cantidad de datos móviles de mi plan actual,PLAN,low
257,El técnico vino pero el problema de conexión sigue igual,TECH,low
258,¿Como puedo actualizar mis datos de contacto?,OTHR,medium
259,Necesito bajar de plan porque el actual me queda muy caro,PLAN,low
260,Necesito bajar de plan porque el actual me queda muy caro,PLAN,high
261,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",TECH,high
262,Quiero agregar una línea móvil adicional a mi plan familiar,PLAN,medium
263,¿Puedo pagar mi factura en efectivo en algún punto físico?,OTHR,high
264,Quiero cancelar mi suscripción antes de la próxima facturación,CNCL,low
265,solicito la baja definitiva de todos mis servicios contratados,CNCL,low
266,¿Puedo combinar dos servicios en un solo plan con descuento?,PLAN,low
267,Quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,low
268,"Mi router no enciende, ya lo reinicie varias veces y sigue sin funcionar",TECH,high
269,"Ya no puedo pagar el servicio, necesito darlo de baja este mes",CNCL,low
270,Quisiera saber más sobre las políticas de privacidad de datos,OTHR,high
271,"no tengo conexión a internet, el router tiene la luz roja parpadeando",TECH,high
272,"Se me corta el wifi cada 20 minutos, es muy frustrante",TECH,medium
273,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 300MB?",PLAN,medium
274,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",BILL,high
275,Quiero información sobre los planes empresariales disponibles,PLAN,medium
276,el total de la factura no coincide con el valor de mi plan mensual,BILL,medium
277,Llevo meses con problemas y ya decidí cancelar el servicio,CNCL,high
278,"Me mudo fuera de Guayaquil y no hay cobertura, debo cancelar",CNCL,low
279,"Me llegó un cobro duplicado en la factura de este mes, favor revisar",BILL,medium
280,¿Como hago para cambiar de plan prepago a pospago?,PLAN,high
281,Quiero agregar una línea móvil adicional a mi plan familiar,PLAN,low
282,Solicito el desglose detallado de los cargos de mi factura,BILL,medium
283,Quisiera cambiar mi plan antes de que termine el contrato actual,PLAN,medium
284,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 300MB?",PLAN,low
285,¿Tiene costo cancelar antes de que termine el contrato de Combo TV+Internet?,CNCL,low
286,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",BILL,medium
287,"Quiero felicitar al agente que me atendió, excelente servicio",OTHR,low
288,"Quiero cambiar mi plan actual a Internet Hogar 100MB, ¿cuáles son los requisitos?",PLAN,high
289,No me ha llegado la factura electrónica de este mes a mi correo,BILL,low
290,"El valor de mi plan subió sin previo aviso, quiero una explicación",BILL,low
291,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,medium
292,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,low
293,"contraté fibra óptica pero la velocidad real es pésima, parece adsl",TECH,high
294,¿Tienen aplicación móvil para gestionar mi cuenta?,OTHR,high
295,¿Puedo hacer upgrade a Fibra 1GB sin pagar penalidad por cambio?,PLAN,medium
296,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,low
297,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",TECH,medium
298,No me ha llegado la factura electrónica de este mes a mi correo,BILL,medium
299,No detecta la red wifi en ninguno de mis dispositivos desde ayer,TECH,medium
300,¿Cómo hago para cambiar de plan prepago a pospago?,PLAN,high
301,"No tengo conexión a internet, el router tiene la luz roja parpadeando",TECH,medium
302,"no estoy conforme con la atención recibida, quiero terminar el contrato",CNCL,low
303,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,medium
304,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,medium
305,"Ya no puedo pagar el servicio, necesito darlo de baja este mes",CNCL,low
306,Quiero dar de baja el combo de TV pero mantener el internet,CNCL,low
307,Deseo dar de baja mi línea porque me mudo de ciudad,CNCL,high
308,"La luz del módem está en ámbar, no logro navegar",TECH,medium
309,Necesito bajar de plan porque el actual me queda muy caro,PLAN,low
310,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,low
311,"Se me desconecta el internet apenas empieza a llover, necesito soporte técnico",TECH,low
312,Quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,high
313,Quiero saber si puedo transferir mi cuenta a otra persona,OTHR,medium
314,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,medium
315,quiero agregar una línea móvil adicional a mi plan familiar!!,PLAN,low
316,Solicito el desglose detallado de los cargos de mi factura,BILL,medium
317,necesito cancelar el servicio a nombre de un familiar fallecido,CNCL,medium
318,"No estoy conforme con la atención recibida, quiero terminar el contrato",CNCL,medium
319,Solicito el desglose detallado de los cargos de mi factura,BILL,high
320,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,medium
321,necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,medium
322,Necesito cambiar mi método de pago de efectivo a débito automático,BILL,medium
323,Quiero saber si puedo transferir mi cuenta a otra persona,OTHR,medium
324,Quiero cancelar mi suscripción antes de la próxima facturación,CNCL,medium
325,"No tengo conexión a internet, el router tiene la luz roja parpadeando",TECH,medium
326,el técnico vino pero el problema de conexión sigue igual,TECH,medium
327,Deseo conocer los beneficios de pasar de plan mes a mes a plan anual,PLAN,low
328,quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,medium
329,¿Tiene costo cancelar antes de que termine el contrato de Combo TV+Internet?,CNCL,low
330,¿Puedo hacer upgrade a Fibra 500MB sin pagar penalidad por cambio?,PLAN,medium
331,Necesito aumentar la cantidad de datos móviles de mi plan actual,PLAN,low
332,Necesito aumentar la cantidad de datos móviles de mi plan actual,PLAN,high
333,¿Tienen promociones para migrar a Fibra 200MB este mes?!!,PLAN,medium
334,"Ya no puedo pagar el servicio, necesito darlo de baja este mes!!",CNCL,low
335,¿Puedo pagar mi factura en efectivo en algún punto físico?!!,OTHR,low
336,"Quiero cambiar mi plan actual a Plan Ilimitado, ¿cuáles son los requisitos?",PLAN,medium
337,¿Tienen promociones para migrar a Combo TV+Internet este mes?,PLAN,low
338,"Se me desconecta el internet apenas empieza a llover, necesito soporte técnico",TECH,low
339,Quiero saber la fecha límite de pago de mi factura actual,BILL,high
340,"La luz del módem está en ámbar, no logro navegar",TECH,low
341,Quisiera una copia de mi factura del mes pasado para mi contabilidad,BILL,high
342,Quiero cancelar porque el precio subió demasiado,CNCL,medium
343,Quiero saber si puedo transferir mi cuenta a otra persona,OTHR,low
344,tengo una consulta general sobre los servicios que ofrecen,OTHR,low
345,"No estoy conforme con la atención recibida, quiero terminar el contrato",CNCL,low
346,Quiero contratar el Combo TV+Internet para mi nueva casa en Loja!!,PLAN,low
347,¿Tienen aplicación móvil para gestionar mi cuenta?,OTHR,medium
348,Quisiera una copia de mi factura del mes pasado para mi contabilidad,BILL,low
349,Quiero verificar si mi pago de ayer ya se refleja en el sistema,BILL,low
350,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,low
351,Llevo meses con problemas y ya decidí cancelar el servicio,CNCL,high
352,Quisiera cambiar mi plan antes de que termine el contrato actual,PLAN,low
353,Estoy muy insatisfecho con el servicio y quiero cancelar el contrato,CNCL,medium
354,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full",BILL,medium
355,quisiera una copia de mi factura del mes pasado para mi contabilidad,BILL,low
356,Tengo una duda sobre el proceso de portabilidad numérica,OTHR,medium
357,¿Puedo hacer upgrade a Fibra 500MB sin pagar penalidad por cambio?,PLAN,medium
358,el técnico vino pero el problema de conexión sigue igual,TECH,medium
359,"la luz del módem está en ámbar, no logro navegar",TECH,medium
360,"Quiero cambiar mi plan actual a Plan Prepago Movil, ¿cuáles son los requisitos?",PLAN,high
361,quisiera saber si tienen cobertura en el sector de Ambato,OTHR,low
362,Me cobraron un servicio adicional que nunca contraté,BILL,medium
363,"El internet está muy lento desde hace 1 días, no puedo ni hacer una videollamada",TECH,medium
364,¿Cual es el proceso para cancelar mi plan sin penalidad?!!,CNCL,medium
365,"Se me genero un cargo por mora que no deberia aplicar, ya pague a tiempo",BILL,medium
366,quiero saber la fecha límite de pago de mi factura actual,BILL,medium
367,Solicito el desglose detallado de los cargos de mi factura,BILL,medium
368,"No tengo conexión a internet, el router tiene la luz roja parpadeando",TECH,high
369,¿Que documentos necesito para abrir una cuenta nueva?!!,OTHR,low
370,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",TECH,low
371,"Se me desconecta el internet apenas empieza a llover, necesito soporte técnico",TECH,medium
372,¿Tienen aplicación móvil para gestionar mi cuenta?,OTHR,low
373,¿Por qué me cobraron $15 de más este mes en Cuenca?,BILL,low
374,Solicito el desglose detallado de los cargos de mi factura,BILL,low
375,"No tengo conexion a internet, el router tiene la luz roja parpadeando",TECH,medium
376,Quiero saber si puedo transferir mi cuenta a otra persona,OTHR,high
377,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,medium
378,tengo una consulta general sobre los servicios que ofrecen,OTHR,medium
379,Quiero contratar el Internet Hogar 100MB para mi nueva casa en Manta,PLAN,low
380,Necesito cambiar mi método de pago de efectivo a débito automático,BILL,medium
381,Quiero cancelar porque el precio subió demasiado,CNCL,medium
382,No carga ninguna página web desde esta mañana en Riobamba,TECH,low
383,Quiero saber la fecha límite de pago de mi factura actual,BILL,medium
384,"Consulta general, no encuentro la opción que busco en la app",OTHR,medium
385,Quiero agregar una línea móvil adicional a mi plan familiar!!,PLAN,low
386,necesito bajar de plan porque el actual me queda muy caro,PLAN,low
387,"Me llego un cobro duplicado en la factura de este mes, favor revisar",BILL,medium
